m,b1,b0,b2,m_cov,b1_cov,b0_cov,b2_cov,message
2.859618564261001,0.2162850383938042,0.27874585646861355,0.18360239187015165,0.14512427561140104,0.04755971661891357,0.04427178898352921,0.06488076306965347,Optimization terminated successfully.
3.18087258853863,0.24608976205965521,0.15612924653482996,0.3555274065724928,0.15481713240290507,0.0399886456660767,0.041563020116080734,0.061174466591026995,Optimization terminated successfully.
2.883025221422095,0.27875406835047695,0.25782579291599284,0.20777022478158969,0.15007818751340943,0.04594153592659186,0.045743376173596986,0.06572907638369985,Optimization terminated successfully.
3.0557313075210217,0.3567731105148415,0.33788513813785237,0.1836871154030249,0.1640267547582384,0.04315936235817019,0.04522572999692151,0.06622598009473087,Optimization terminated successfully.
2.9555317997751143,0.16863251473484017,0.2903656322913644,0.232508292867424,0.14732097337696176,0.044458018476535854,0.04422302649707132,0.06368569026953282,Optimization terminated successfully.
3.2432235432744028,0.29096525196529244,0.16391625618793712,0.3512915765261957,0.15979227721383266,0.04337561701739887,0.04115632447447951,0.06156304954068796,Optimization terminated successfully.
2.8410471716313546,0.2949872765936666,0.2809173767713306,0.202889221349471,0.1504514010059595,0.042936883232172214,0.04805782585208343,0.06705337391050135,Optimization terminated successfully.
3.016094491096421,0.2732725248803329,0.21045371424549025,0.3116575912748627,0.1546980228977889,0.04588491106287374,0.04325775016854085,0.06448935411691434,Optimization terminated successfully.
2.6467478843644106,0.25205321054905927,0.2851704310107207,0.253401575101499,0.13522006130122494,0.04572493732205626,0.04824866330514518,0.06911215343865088,Optimization terminated successfully.
3.158098546789887,0.30369499425130553,0.2634784781524434,0.28016899362639436,0.1664536747166433,0.041986196678008916,0.04378260625955474,0.06340822417954256,Optimization terminated successfully.
3.069901650221021,0.2852539500173489,0.28100420784881963,0.25390450580329627,0.14674119586367354,0.04677414943876444,0.04465395842759108,0.0632377850777763,Optimization terminated successfully.
