m,b1,b0,b2,m_cov,b1_cov,b0_cov,b2_cov
2.8026688620767004,0.11810648875914638,0.11679342542275628,0.5101285406945365,0.13903976227857112,0.02428278546715946,0.05108396962167926,0.0821451671676458
3.1412138915467933,0.1387195220017692,0.07986749256461469,0.5250581259958342,0.14965421558871292,0.021852548097434685,0.045543307159774116,0.07345156467630028
2.794544255707714,0.14228676487567365,0.1351873509637096,0.435841450128626,0.1387201794191284,0.0241483443046466,0.05018538320521883,0.07983922613503841
2.890009732362555,0.174797588239742,0.23142591322684902,0.3922437816054219,0.14190494753852131,0.02462749198382508,0.05143321570458661,0.0801777921306637
2.886507690905229,0.10836543120908011,0.16805202952980455,0.5166025384657038,0.14172855327724437,0.023185721621455185,0.049801929444812834,0.07881862591793179
3.090745712639687,0.13866941268753996,0.05367509684316496,0.5097222739397361,0.14805166795600966,0.022959013504316634,0.04705752731001317,0.07517910737941465
2.7997878838494463,0.13663035971149456,0.177081060914711,0.4357981670177836,0.13890604803823187,0.02358516934243824,0.050974186359855796,0.08160216047516615
3.038458481926062,0.1514990745705201,0.07392672922090138,0.584938650975821,0.1464786967055117,0.023378107948418797,0.04781939154678488,0.07699805811697111
2.5445359200783395,0.14311568990409984,0.14610865653012323,0.46430456192557595,0.13108276921388884,0.02547721821735516,0.053801342855762956,0.08506617328436286
3.1834869278674884,0.17819620061455188,0.1514836678180207,0.47661855706395384,0.1509537568063586,0.022347362097874676,0.047362512222576855,0.07536696737418949
2.956095723324725,0.15826940923372174,0.18958750049075107,0.45775021190888276,0.14386807423685818,0.023871722040602405,0.049606494712550325,0.07902334154959627
3.0356976168689433,0.1407599265382898,0.09617537633241269,0.4699835198249903,0.1463409268481374,0.022771873655599486,0.047409309450227075,0.07647295723982452
2.6466216723888643,0.17540216819302767,0.1910658737015775,0.38406014448095993,0.1342213195768502,0.025585224622974367,0.05363769639176662,0.08318935674370448
2.970220182107949,0.14158564121603923,0.09651620519335896,0.5550985204299581,0.14441349918121896,0.023324922815629565,0.04976893333170598,0.07841804245806652
2.786498921651631,0.10935196820103575,0.1267996726652132,0.538175284754762,0.1385973541194057,0.02365268291718984,0.05054627807971683,0.08091014715745212
2.8834574353166342,0.14391027753861085,0.15608207175057764,0.38486161462022955,0.1415650773894899,0.023628012930220182,0.05022789636575483,0.0776504260078009
2.9416450286944826,0.13181960354288674,0.1177488279709816,0.4779159801149373,0.14341549610420384,0.023278807711723512,0.04941884407384279,0.07773401568994627
3.085137186627605,0.1315116342162786,0.114216146459142,0.4229073432288431,0.14783383043456919,0.022088719134987615,0.04713023213660417,0.07453616215724827
2.79866138541902,0.11259937351085009,0.06587549255850764,0.5000384919015479,0.13884950385994194,0.023531482726774345,0.049732962930783706,0.0787195713681109
2.7125642064232225,0.10070807682408514,0.05878166365274765,0.6426781057022675,0.13627187208938193,0.024910615893512397,0.05146672929010652,0.08213245533083821
